
   INFO  Server running on [http://127.0.0.1:8099].  

  Press Ctrl+C to stop the server
  2026-03-05 09:44:58 /build/assets/app-DpmNv1u0.js ........................................................ ~ 6.00ms
  2026-03-05 09:44:59 /icons/logo.png ...................................................................... ~ 0.34ms
  2026-03-05 09:44:59 /icons/unila.png ..................................................................... ~ 8.34ms
  2026-03-05 09:44:59 /admin/audit-logs ...................................................................... ~ 10dt
  2026-03-05 09:45:09 /admin/users ........................................................................... ~ 13dt
  2026-03-05 09:45:23 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.17ms
  2026-03-05 09:45:09 /build/assets/app-Cob1zxeE.css ......................................................... ~ 13dt
  2026-03-05 09:45:23 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.19ms
  2026-03-05 09:45:23 /build/assets/app-Cob1zxeE.css ...................................................... ~ 69.32ms
  2026-03-05 09:45:23 /icons/logo.png ...................................................................... ~ 0.33ms
  2026-03-05 09:45:23 /icons/unila.png .................................................................... ~ 12.73ms
  2026-03-05 09:45:23 /icons/unila.png ..................................................................... ~ 0.27ms
  2026-03-05 09:45:23 /icons/logo.png ...................................................................... ~ 8.06ms
  2026-03-05 09:45:24 /admin/cms .............................................................................. ~ 4dt
  2026-03-05 09:45:29 /admin/users/create ..................................................................... ~ 8dt
  2026-03-05 09:45:37 /build/assets/app-DpmNv1u0.js ........................................................ ~ 0.20ms
